2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Beere::N	аргуц	маткӏо	numi	qaayu-x́	حبة		gilə	еләк	ягада	плод	বেরি	hog	gabíla	жэмэс	baia	цӏазам	оонъылгын	将果	bobule	ҫырла	aeronen	bær	кьарла цӏедеш		Beere	mari	ρόγα	berry	ози	baya	пагунӷаӄ	baia	тэвуктэ, диктэ	marja	baie	caor	амтака	ענבה	बेरी	bobica, boba	bogyó	հատապտուղ	ber	bacca	мэӆкэв	漿果	კენკრა	рых	ээль	жимсгэнэ	жидек	paarmaq, paarngaq	hirç	ನಯವಣ್ಣು	장과	ягӧд	вотӧс, тусь	marja	baca	хӏаллил ахъулсса	куьлуь емиш	mǭŗa	uoga	oga	и́мож	мӧр	ബെറി	uluri, janjuri, eritun	пил	мöр	умарь	ӈута	алр̌, алс	bes	bær	marju	гагадыргъ	مېوۍ	گیله	jagoda	bago	boabă	ягода	отон	muorji	топыр	мӯррьй	bobuľa	jágoda	muerjie	muorjje	myer'ji	mue´rjj	frutë, manaferrë	bär	சதைப்பழம்	కాయ	tane	җиләк	узы-боры	ягода	meva	marj	бөөлҗрһн	пуриэ	ӈодя	lebejdī
Bein::N	ашьапы	лъакъо́	kema, chikir	aliigax́	ساق	бох	qıç	аяҡ	нага	крак, нога	পা	gar	-ltanċ	хүл	cama	ког	гыткалгын	腿	noha	ура	coes	ben	кьяш	кӏончӏу	Bein	jalg	πόδι	leg	ӈо	pierna	иӷу	zango	халган	jalka	jambe	cos	бэгди	רגל	टाँग	noga	lábszár, láb	ոտք	fótleggur	gamba	ӄтҳаӈ	足	ფეხი	кур	киʼсь, буль	хөл	аяқ	isigak	çip	ಕಾಲು	다리	кок	кок	jalka	crus	ччан	кӏвач	jālga	koja	kāja	пильге	йол	കാൽ	bethe	ла̄гыл	ял	пильге	ӈой	ӈатьх	been	bein	jalgu	зӕнг	پښه	پا, لنگ	noga	perna	picior	нога	атах	juolgi	топы	ю̄лльк	noha	nôga	juelkie	juolgge	jyel'gi	jue´lǧǧ	këmbë	ben	கால்	కాలు	bacak	аяк	пыд	нога	oyoq	jaug	көл	угурчэ	ӈэ	nojl
Berg::N	ашьха	къушъхьэ́	nupuri	kiiǵuusi-x́	جبل	мегӏер	dağ	тау	гара	планина	পর্বত	menez	paháaṭ, ćhiṣ	хада	muntanya	лам	н’эгны	山	hora	ту	mynydd	bjerg	дубура	хӏон	Berg	mägi	όρος, βουνό	mountain	логарь	monte, montaña	найӷаӄ	mendi	кадар	mäki, vuori	mont, montagne	sliabh	хурэ̄н	הר	पहाड़	brdo	hegy	լեռ	fjall, fell	montagna, monte	ӈэйӈэ	山	მთა	рэп	тъӈалоп	уул	тау	qaqqaq	kaş	ಮಲೆ, ಪರ್ವತ	산	керӧс	чой, керӧс	vuara, mäki	mons	зунтту	дагъ	mäg	kalnas	kalns	панда	ку́рык	പർവ്വതം	alin	ур, нё̄р	кырык	пандо	дикә	пал, чир̌	berg	fjell, berg	mägi	хох	غ‍‍‍‍‍ر	کوه	góra	monte, montanha	munte	гора	хайа	várri	маӄӄа	те̄ррьм	hora	gôra, planína	bïerje	várre	vääṛi	vää´rr	mal	berg, fjäll	மலை	పర్వతము	dağ	тау	гурезь	гора	tog'	mägi	уул	анаа	хой	pē
Besen::N	аҧссага	пхъэнкӏы́пхъ	nuyep	kagiisi-s	مكنسة	жул	süpürgə	һепертке	мятла	метла	গুল্মবিশেষ	skubell	phópus	хамуур, харганаа, шэрбүүр	escombra	нуй	н’увтэвичгын	扫帚	smeták, koště	шӑпӑр	ysgub	kost	бушкала	меш	Besen	luud	σκούπα	broom	лива	escoba	малъиӷусиӽпак	erratz	дэрпусивӯн	luuta	balai	scuab	хапол	מטאטא	बुहारी, झाड़ू	metla	seprű	ավել	sópur	scopa	малэнәӈ	ほうき	ცოცხი	ёвӆапса	тальсигатсь, тусьпоӄсигатсь	хамуур, туужуу	сыпырғыш	saligutit	melkes	ಪೊರಕೆ	비	рос	рос	vasta	scopae	чӏатлу	таран кул	lūdõ	šluota	slota	тяльме	ӱштерво́штыр	ചൂല്	eriku, šudu eriku	хоссуп	сало, салко	тенсть	кайбу	пытир̌, путис	bezem	kost	vastu	уисой	جارو	جارو	miotła	vassoura	mătură	метла	миинньик	luvdá	мяйллака	ва̄сст	metla	mêtla	saehpie, gaerpene	njáman	luvdá	västt	fshesë	kvast	விளக்குமாறு	చీపురుకట్ట	süpürge	себерке	ӵужон, исьнер	мітла	supurgi	lud, vast	сәвүр		лата’ то	kerpi, numön-kerpi, numön-kerpijə, kerpijə
Bett::N	акаруаҭ	пӏэкӏо́р	shotki	isxa-x́	سرير	кровать	yataq	карауат	пасцель, ложак	легло, креват	শয্যা	gwele	-yáariki	хэбтэри, унтари	llit	маьнга	йылк’ыёлгын	床	postel	кравать	gwely	seng	кровать, калхьуси тах	карават	Bett	voodi	κρεβάτι	bed	баа	cama	ӄаваӷвик	ohatze, ohe	а̄мкин	sänky	lit	leaba	а̄ори хадён	מטה	पलंग, खाट	krevet, postelja	ágy	անկողին	hvíla, rúm	letto	ањтс	ベッド	სარეცელი, საწოლი	оӆты таха	оӈнась	ор	кереует	nallavik	qerewêle	ಹಾಸಿಗೆ	침대	кровать	вольпась	sija	lectus	тах	тахт	azūm	lova, patalai	gulta	ацам	ва́кшыш	കിടക്ക	besergen	хуйнэма	койка, кравать	ацамо	бәбә	т’уғс, т’хур̌	bed	seng	magavosija, kravatti	сынтӕг	چپرکټ, کټ	تختخواب	łóżko, pościel	cama	pat	постель	кырабаат	seaŋga	яӄаш	вуэдтӭмсайй	lôžko, posteľ	póstelja	seangkoe	sæŋŋga	seŋgâ	sââ´jj	shtrat	säng	படுக்கை	పడక, మంచం	yatak	урын-җир, ятак	валес	ліжко, постіль	yotoq	magaduzsija, sija	орн, орндг	ааваал	пэӈа	punbur
Beutel::N	асакь	дзыо́	pukuru	summa-x́	كيس	таргьа	torba, kisə	тоҡ	мяшок	кесия	বটুয়া	sac'h		мэшээг	bossa	гали	тэючгын	袋子	pytlík	михӗ	cwd	pose	гавлаг	ихин	Beutel	paun	πουγγί	pouch	марие	bolsa	калӈапыгаӄ	zorro	хутакан	pussi	sac, petit sac	mála, mealbhóg	сомала̄н	שק	झोला	kesa	zacskó	տոպրակ	baggi, poki	sacchetto, borsa	маск’эл	袋	პარკი	хир	ай	агсаа, уут	қапшық		kîsik	ಸಂಚಿ	클	мешӧк	мешӧк	pussi	sacculus	чантай	тагъар	pōna	krepšys, maišelis	maisiņš, kule	кяскав	меша́к	ബാഗ്	fintaha, fulakcan, dabargan	хӯрыг	мешӓк	кескав	хуоз̌ай	ӿонтӄ, тали	buidel, zak	pose	huavo	дзӕкъул	کڅوړه	کیسه	torba	bolsa, saco	săculeț, pungă	мешок	мөһөөччук	bursa, guhkkár, seahkaš	кота	ве̄ҏҏц	vrecko, vrece	môšnja	voessetje	påvsså	čooṿâs	siâk'k, kå´ššel	qese, trastë	påse	பை	సంచి	torba, kese	луза	пуйы	мішечок, торбинка	to'rva	havad	мишг	оной	пад	
Bild::N	асахьа	сурэ́т	noka	kaltiinka-x́	صورة	сурат	rəsm	картина	карціна	картина	চিত্র, ছবি	skeudenn	tasbíir	зураг	imatge	сурт	кэликэл	图画	obraz	сӑнлӑх, картина, сӑн	pictiwr, llun	billede	сурат	сурат	Bild	pilt	εικόνα	picture	картин	imagen	картина	irudi	онёвӯн	kuva	tableau, image	pictiúr	картина	תמונה	चित्र	slika	kép	նկար, պատկեր	mynd	immàgine, quadro		絵	სურათი	хор		зураг	сурет	assiliaq	dimen	ಚಿತ್ರ	그림	картина	серпас	kuva	tabula, pictura	сурат	шикил, суьрет	bīlda	paveikslas	glezna	карти́на	сӱре́т	ചിത്രം	nirugan, ūren	хури	картин	картина	сыˮ	чӈай, ӻоӻчӈай	beeld	bilde	kuva	ныв	رسم	تصویر, عکس	obraz	imagem	imagine, tablou	картина	хартыына	govva	ӄятты	картина	obraz	slíka	guvvie	gåvvå	koṿe	kartt	tablo, pikturë	bild	படம்	చిత్రము	resim, imaj	картина, рәсем	суред	картина	rasm	kuva	зург	йуөдьиндьэ	картина, падтаˮма	šörilə
Birke::N	аҵааҵла	пчэн	tat-ni	biruuza-x́	قضبان	мах, махигъветӏ	tozağacı	ҡайын	бяроза	бреза	ভুর্জ	bezvenn	tal	хуһан	bedoll	дакх	вылгил	桦木	bříza	хурӑн	bedwen	birk	махъ	ме	Birke	kask	σημύδα	birch	ко	abedul	иӄаӽта	urki	чалбан	koivu	bouleau	beith, crann beithe	пиагда̄н	שדר	भूर्ज	breza	nyír	ցարասի	birki	betulla	ич’, кылх	樺	არყი	сумат	усь	хус	қайың	patitsit	dara sipî	ಬರ್ಚ್ ಮರ	자작나무	кыдз	кыдз	koivu	betulla	кӏялахӏи, кӏялахӏилул мурхь	верх	kõuvõ	beržas	bērzs	ке́лу	куэ́	പൂവരശ്	fiya	ха̄ль	куги	килей	күо	ӿивс чӽар̌, ӿивс	berk	bjørk	koivu	бæрз	توس	غان	brzoza	bétula	mesteacăn	береза	хатыҥ	soahki	ӄя	пе̄ссьмӯрр	breza	bréza	såekie	soahke	suáhi	suâ´ǩǩ	mështekën	björk	பிர்ச் மரம்	తరహా చెట్టు	huş	каен	кызьпу	береза	qayin	koiv	хусм модн	йааӈ	хо	poń-qā-rā
Blatt::N	абҕьы	тхьап	ham	siǵli-x́	ورقة	тӏамах	yarpaq	япраҡ	ліст	лист	পর্ণ	delienn	khiỵ -áṅ	лиис, набшаһан	fulla	гӏа	вытвыт	叶子	lupen	ҫулҫӑ	deilen	blad	кӏапӏи	лӏаӏб	Blatt	leht	φύλλο	leaf	деби	hoja		hosto	авданна	lehti	feuille	duille, duilleog	хабдата	עלה	पत्र, पत्ता	list	levél	տերեւ	blað	foglia	пәллапәл	葉	ფოთოლი	лыпат	ъъ	навч	жапырақ	pilutaq	pel	ಎಲೆ	잎	лист	кор	lehti	folium	чӏапӏи	пеш	lēḑ	lapas	lapa	лопа	лышта́ш	ഇല	abdaha	лупта	листӹ	лопа	хораз̌яй	тёмр̌	blad	blad	lehti	сыф	پاڼه	برگ	liść	folha	frunză	лист	сэбирдэх	lasta	чопы	лэ̄сст	list	líst	plienie	lassta	lostâ	lõstt	fletë, gjethe	blad, löv	இலை	ఆకు	yaprak	яфрак	куар	лист	barg	lehtez	хамтхасн	пугил	вэ̇ба	polžičə
Blume::N	ашəҭ	къэгъа́гь	nonno, epuige	aahmaax́	زهرة	тӏегь	çiçək	сәскә	кветка	цвете	ফুল	bleunienn	asqúr	сэсэг	flor	зезаг	тын’эчьын, тын’ачьылгын	花	květina	чечек	blodyn	blomst	вава	гагали	Blume	lill	άνθος, λουλούδι	flower	оды	flor	питутшат	lili	ӈо̄ды	kukka	fleur	bláth	силакта	פרח	पुष्प, फूल	cvijet	virág	ծաղիկ	blóm	fiore	ч’ињэкэчҳ	花	ყვავილი	лыпат	аӄта ъъӈ	цэцэг	гүл	naasoq	kulînk	ಸುಮ	꽃	цветок	дзоридз	kukka	flos	тӏутӏи	цуьк	pusk, puțkõz	gėlė	zieds, puķe	панчф	пеле́дыш	പൂവ്	ilha	хорамыӈ лӯпта	пеледӹш	цеця	лукуз̌иай	цветок, эӈвк	bloem	blomst	kukku	дидинӕг	ګل	گل	kwiat	flor	floare	цветок	сибэкки	rássi	цветок	ывьнэнч	kvetina, kvet	cvetlíca	rïesege	giedjek	kukká	heä´rvvrää´ss	lule	blomster, blomma	பூ	పుష్పము	çiçek	чәчкә	сяська	квітка	gul	änik	цецг	пулгидьилэ	ӈамдэдʼ ӈэва	šörilə, lebēn-šörilə
Blut::N	ашьа	лъы	kem	aamax	دم	би	qan	ҡан	кроў	кръв	রক্ত	gwad	multán, qhúun	шуһан	sang	цӏий	мутлымул	血	krev	юн	gwaed	blod	хӏи	э	Blut	veri	αίμα	blood	буя	sangre	ау̌к	odol	сэ̄ксэ	veri	sang	fuil	сэксэ	דם	ख़ून, लहू	krv	vér	արյուն	blóð	sangue	мӆим	血	სისხლი	вур	сюль	цус	қан	aak	xwîn	ರಕ್ತ	피	вир	вир	veri	sanguis	оь	иви	ver	kraujas	asins	вер	вӱр	രക്തം	senggi	ке̄луп	вӹр	верь	демәә, кам	ӈар̌, чоӽ	bloed	blod	veri	туг	وینه	خون	krew	sangue	sânge	кровь	хаан	varra	кэм	вэ̄рр	krv	krí	vïrre, maelie	varra	vorrâ	võrr	gjak	blod	இரத்தம்	రక్తము	kan	кан	вир	кров	qon	veri, čak	цусн	чиэмэ	вэ̇я, хэ̇мʼ	lepul
Boden::N	адгьыл	чӏ́ыгу	so	tana-x́	تراب	ракь	yer, zəmin	тупраҡ	глеба	земя, почва	ভূতল	tachenn	imín, tik	газар	sòl	цӏенкъа	нутэск’ын	地面	půda	тӑпра	llawr	jord	хьулчи, лутӏи	мочи	Boden	maa, pinnas	χώμα	ground, soil	дя	suelo	нуна	zoru, lur	хэрэ	maaperä, maa	sol, terrain	talamh	на̄	קרקע	मिट्टी	tlo, zemlja	talaj, föld	գետին	botn	suolo, terreno	ктхым	土地	მიწა	мув	баʼӈ	хөрс	қыртыс	nateq	herd	ನೆಲ	바닥	му	му	muaperä, mua	solum	аьрщи	накьв	mǭ, pū’ois	žemė, dugnas	augsne	мода, потмакс	рок	തറ, നിലം	fere, falan	ма̄	рок	мода	моу	миф	grond	bakke	muaperä	зӕхх	مځکه	زمین	grunt	solo	pământ, sol	почва	сир	bodni, vuođđu	тэтты	лаввьн, е̄ммьне	pôda, zem	tlà	betnie	ednam	vuáđ̣u, ponne	vuâđđ	tokë, truall	mark	தரை	నేల	zemin, yer	туфрак	музъем	ґрунт	tuproq	pohj, ma	Һазр	лукул	я	
Bogen[Waffe]::N	ахыц	щабз	ku	saygi-	قوس	газаргъо	yay	йәйә	лук	лък	ধনুক	gwareg		номо	arc		тин’ур	弓	luk	ухӑ	bwa	bue	урги-дерга	цӏеруцӏа	Bogen	vibu	τόξο	bow	иду	arco	уӷлювык	arku	бэр	jousi	arc	bogha	бури	קשת	कमान	luk	íj	աղեղ	bogi	arco	ч’ит	弓	მშვილდი	юхаӆ	ӄыʼт	нум	саржа		kêvan	ಬಿಲ್ಲು	활	лук	ньӧввуж	jousi	arcus	ккуртта	чӏемерук	vi’b	lankas	loks	нал	юҥе́ж	വില്ല്	beri	ё̄вт	янгеж	нал	динтә	пуньдь	boog	bue	jouzi	ӕрдын	لیندۍ	کمان	łuk	arco	arc	лук	ох	dávgi	ынти	ю̄ккс	luk	lók	joeksi	juoksa	tävgi	johss	hark	båge	வில்	విల్లు	yay	җәя	пукыӵ	лук	yoy	taug	саадг	наандавйэ	ӈын	eje
Boot::N	анышь	къуашъо́	chip	ayx́aasi-x́	قارب, زورق	раса	qayıq	кәмә	лодка	лодка	নৌকা	bag		онгосо	bot, barca	кема	ы’твъэт	小船	člun	кимӗ	cwch	båd	къаякъ, лодка	гама	Boot	paat	βάρκα	boat	одду	barca, bote	аӈъяӷу̌аӄ	potin, txalupa	оӈкочо̄	vene	canot, bateau	bád	огда	סירה	नौका, नाव	čun, čamac	csónak	նավակ	bátur	barca, battello	тхтум	ボート	გემი	хоп	асьленэӈ, асьлин	завь	қайық	umiatsiaq, angallat, qajaq	kelek	ದೋಣಿ	보트	пыж	пыж	veneh	navicula	луткка	луьткве	venī, lǭja	valtis, laivelis	laiva	венеж	пуш	ബോട്ട്	jahūdai, cūwhan	ха̄п	пыш	венч	ӈәндуй	му	boot	båt	veneh	чема	قايق	قایق	łódka, łódź	barco	luntre, barcă	лодка	оҥочо	fanas	анты, алако	вэнс	čln	čóln	vïnhtse	vanntsa, vanás	käärbis, voonâs	võõnâs	lundër, barkë	båt	படகு	పడవ	kayık, sandal	көймә, каек	лодка, пыж	човен	qayiq	veneh	оңһц	өльдьэ	ӈано	qodoľ
Brei::N	ақашь	пӏастэ́			عصيدة	карщ	sıyıq, aş	бутҡа	каша	каша	মণ্ড	yod	baát	каша	puré	xудар	рилк’ырил	粥	kaše	пӑтӑ	uwd	grød	каш, дахни	хъихъи	Brei	puder	χυλός	mush	каша	puré, papilla		pure, ahi	чупа	puuro	purée, bouillie	brúitín	лала	מחית	भरता, दलिया	kaša	pép, kása	լանդակ	grautur	pappa, purè		粥	ფაფა	сэмаӈ ӆант		богшмол, будаа	ботқа		hewdêl	ಗಂಜಿ	젤리	каша	рок	huttu, putro	puls	ккурч	хешил, хапӏа	sandrok	košė	biezenis, putra	ям	пу́чымыш	കഞ്ഞി	lala	со̄ламт	шӹрӓш	каша		ераӄ	pap, brij	grøt	pudro, kuaššu	кас	اوګره	حریره, فرنی	kasza	puré	pireu	каша	хааһы	buvru	каша, кашаймы	уххт	kaša	káša	kraavhtse	ráktsa	suoḥâd	hutt	qull	gröt	கஞ்சி	గుజ్జు	ezme	ботка	ӝук	каша	bo'tqa	pudr	хаш		хаска, каша	
Brett::N	аӷəы	пхъэ́мбгъу	ita	duska-x́	لوح	хъарщи	taxta	таҡта	дошка	дъска	তক্তা	plankenn	balk	хабтаһан, һиилэһэн хэб	taula	у	вычготтоот	木板	prkno	хӑма	astell, bwrdd	bræt	уркьули	къир	Brett	saelaud	σανίδι	board	лата	tabla	лямпа	ohol	олдоксо	lauta	planche	clár	ундэхэн	קרש	तख़्ता, पटरा	daska	deszka	տախտակ	fjöl	asse, tàvola	доска’	板	დაფა, ფიცარი	сохаӆ	лем, ляʼм	банз	тақта	salliligaq	dep	ಹಲಗೆ	마루널	пӧв	пӧв	lauta	tabula	тахта	тахта, кьул	dēļ	lenta	dēlis	лавця	оҥа́	ബോർഡ്	jurgan, sarhū	па̄рт, сэ̄мыл па̄рт	ханга	лаз	лохуа	калмр̌	plank	fjøl, brett	laudu	фæйнæг	تخته	تخته	deska	tábua, prancha	scândură	доска	дуоска, хаптаһын	lávdi	төнтыпо	лаййт	doska	deskà	fealloe	fiello	lyev'di	lu´vdd	dërrasë	bräda	பலகை	పలక	tahta	такта	пул	дошка	taxta	laud	харһа	нинбэ	лата	kenbuko-cāl
Brief::N	ашəҟəы	тхэн, письмэ	kambi	kalika-x́	مكتوب, خطاب	рисалат, кагъат	məktub	хат	ліст, пісьмо	писмо	চিঠি	lizher	ćuṭí	бэшэг хэрэглэлгэ	carta	кехат	кэлинн’ивын	信	dopis	ҫыру	llythyr	brev	кагъар	кагъат	Brief	kiri	γράμμα, επιστολή	letter	письмо, пазур	carta	письмо	eskutitz, gutun	дукӯвӯн	kirje	lettre	litir	бичхэ	מכתב	पत्र, चिट्ठी, ख़त	list, pismo	levél	նամակ	bréf	lèttera	кэлэном	手紙	წერილი	нэпек	иринӈ	захиа, захидал	хат, жазу	allagarsiaq	name	ಕಾಗದ	서한	гижӧт	письмӧ	kirjani	epistula	чагъар	кагъаз	kēra	laiškas	vēstule	сёрма	се́рыш	കത്ത്	jasigan	нэпак, письмо	сирмӓш	сёрма	хоз̌үр	питғы	brief	brev	kirjaine	фыстӕг	لیک, مکتوب	نامه	list	carta	scrisoare	письмо	сурук	reive	нэкыр	кыррьй	list	písmo	prievie	girjje	kirje	ǩe´rjj	letër	brev	கடிதம்	జాబు	mektup	хат	гожтэт	лист	maktub	kirjeine	бичг	нимэлэ	юнʼ падӑрˮ	
